,序号,数据id,关联标题,客户名称,生产单号,订单编号,销售明细,关联标题.1,物料编号,名称,规格,计量单位,计划数量,预计开始时间,预计结束时间,工序,关联标题.2,首道工序机器编码,备注,实际开始时间,实际结束时间,生产状态,关联标题.3,班组名称,物料标题(隐藏),物料名称（隐藏）,当前日期（隐藏）,创建时间,创建者,创建人部门,审批单标题
126,127,6VrpPBVXTeqRN6lhKQg-jg05971665386532,,,202210100813,,,后门铰链座_,WK.03.05274,后门铰链座,,个,20000,2022-10-11,2022-10-12,"D-连续模下料,E-镀锌",,,D+E,2022-10-10,,进行中,,,,后门铰链座_,2022-10-14,2022-10-10 15:22:12,张倩,后勤部,后门铰链座_
127,128,lVkqKrr-S6eQT1Ot-Bo86g05971665385884,,,202210100812,,,F107电池盒连续下料模_,MJ.02.05273,F107电池盒连续下料模,,个,1,2022-10-10,2022-10-20,"J-出图,J-设计,J-下料,J-铣床,J-加工中心,J-淬火,J-线切割,J-装配",,,机加,2022-10-10,,进行中,,,,F107电池盒连续下料模_,2022-10-10,2022-10-10 15:11:24,周琳,后勤部,F107电池盒连续下料模_
128,129,ppm4SBLnSSyYBgIvo4XrLA05971665375551,四川金彭,四川金彭,202210100805,,,右裙边/巧智120_,电瓶车-三轮.成品.02686,右裙边/巧智120,,个,35,2022-10-10,2022-10-11,"B-唐宇下料,B-切口,B-一次折弯,B-二次折弯,B-三次压型",,,B,2022-10-10,,进行中,B组,B组,,右裙边/巧智120_,2022-10-10,2022-10-10 12:19:11,马清伟,机加车间,右裙边/巧智120_
129,130,VoNNYrkLSy-jZPqJccGOzQ05971665375551,四川金彭,四川金彭,202210100804,,,车底后裙边/巧智120_,电瓶车-三轮.成品.02592,车底后裙边/巧智120,,个,35,2022-10-10,2022-10-11,"B-唐宇下料,B-切口,B-一次折弯,B-二次折弯,B-三次压型",,,B,2022-10-10,,进行中,B组,B组,,车底后裙边/巧智120_,2022-10-10,2022-10-10 12:19:11,马清伟,机加车间,车底后裙边/巧智120_
130,131,x3JMPwgcS6icU_pNrUhQ7Q05971665375551,四川金彭,四川金彭,202210100807,,,左裙边/途霸II150_,电瓶车-两轮.成品.04193,左裙边/途霸II150,,个,25,2022-10-10,2022-10-11,"B-唐宇下料,B-切口,B-一次折弯,B-二次折弯,B-三次压型",,,B,2022-10-10,,进行中,B组,B组,,左裙边/途霸II150_,2022-10-10,2022-10-10 12:19:11,马清伟,机加车间,左裙边/途霸II150_
131,132,3xT02FtPTa63VrleoECL7w05971665375551,四川金彭,四川金彭,202210100808,,,右裙边/途霸II150_,电瓶车-两轮.成品.04122,右裙边/途霸II150,,个,25,2022-10-10,2022-10-11,"B-唐宇下料,B-切口,B-一次折弯,B-二次折弯,B-三次压型",,,B,2022-10-10,,进行中,B组,B组,,右裙边/途霸II150_,2022-10-10,2022-10-10 12:19:11,马清伟,机加车间,右裙边/途霸II150_
132,133,-c5tMWZkTaq5qwisPgURig05971665375551,四川金彭,四川金彭,202210100809,,,左裙边/途霸II160_,电瓶车-两轮.成品.04194,左裙边/途霸II160,,个,185,2022-10-10,2022-10-11,"B-唐宇下料,B-切口,B-一次折弯,B-二次折弯,B-三次压型",,,B,2022-10-10,,进行中,B组,B组,,左裙边/途霸II160_,2022-10-10,2022-10-10 12:19:11,马清伟,机加车间,左裙边/途霸II160_
133,134,cH9YMUoaR2aX4MNKmuzLlA05971665375551,成都巨伦,成都巨伦,202210100811,,,7230小赛诺电池盒隔板_,LL.04.05252,7230小赛诺电池盒隔板,,个,280,2022-10-10,2022-10-11,"B-唐宇下料,B-二次成型",,,B,2022-10-10,,进行中,B组,B组,,7230小赛诺电池盒隔板_,2022-10-10,2022-10-10 12:19:11,马清伟,机加车间,7230小赛诺电池盒隔板_
134,135,kDnDr0OYSLSQl7AVAeHYzw05971665375551,四川金彭,四川金彭,202210100806,,,左裙边/巧智120_,电瓶车-三轮.成品.02711,左裙边/巧智120,,个,35,2022-10-10,2022-10-11,"B-唐宇下料,B-切口,B-一次折弯,B-二次折弯,B-三次压型",,,B,2022-10-10,,进行中,B组,B组,,左裙边/巧智120_,2022-10-10,2022-10-10 12:19:11,马清伟,机加车间,左裙边/巧智120_
135,136,v0VXVdydTGyiI0231jLW6Q05971665375551,四川金彭,四川金彭,202210100810,,,右裙边/途霸II160_,电瓶车-两轮.成品.04123,右裙边/途霸II160,,个,185,2022-10-10,2022-10-11,"B-唐宇下料,B-切口,B-一次折弯,B-二次折弯,B-三次压型",,,B,2022-10-10,,进行中,B组,B组,,右裙边/途霸II160_,2022-10-10,2022-10-10 12:19:11,马清伟,机加车间,右裙边/途霸II160_
136,137,XbZWgsaTSnGK8e8r66EfEA05971665375366,成都巨伦,成都巨伦,202210100791,,,312电池盒底托/K12电池盒底托_,电瓶车-两轮.半成品.04984,312电池盒底托/K12电池盒底托,,个,700,2022-10-10,2022-10-11,"B-唐宇下料,B-二次切口,B-压筋两次,B-二次成型,B-焊耳朵,B-点焊",,,B,2022-10-10,,进行中,B组,B组,,312电池盒底托/K12电池盒底托_,2022-10-10,2022-10-10 12:16:06,马清伟,机加车间,312电池盒底托/K12电池盒底托_
137,138,7kL8ewcQTSOpuuJBH5-b0g05971665375366,成都巨伦,成都巨伦,202210100801,,,6020新博威电池盒前底托_,电瓶车-两轮.半成品.05013,6020新博威电池盒前底托,,个,210,2022-10-10,2022-10-11,"B-唐宇下料,B-压筋,B-一次成型,B-点焊",,,B,2022-10-10,,进行中,B组,B组,,6020新博威电池盒前底托_,2022-10-10,2022-10-10 12:16:06,马清伟,机加车间,6020新博威电池盒前底托_
138,139,VAEh-331TvWiLFNbsiWumw05971665375366,成都巨伦,成都巨伦,202210100792,,,312电池盒/K12电池盒挡板_,电瓶车-两轮.半成品.04985,312电池盒/K12电池盒挡板,,个,1400,2022-10-10,2022-10-11,"B-唐宇下料,B-切角两次,B-三次成型",,,B,2022-10-10,,进行中,B组,B组,,312电池盒/K12电池盒挡板_,2022-10-10,2022-10-10 12:16:06,马清伟,机加车间,312电池盒/K12电池盒挡板_
139,140,vjyIfOwJQt6I0-oNNsFbOA05971665375366,成都巨伦,成都巨伦,202210100795,,,7230小赛诺电池盒前底托_,电瓶车-两轮.半成品.05001,7230小赛诺电池盒前底托,,个,280,2022-10-10,2022-10-11,"B-唐宇下料,B-二次成型,B-焊耳朵,B-点焊",,,B,2022-10-10,,进行中,B组,B组,,7230小赛诺电池盒前底托_,2022-10-10,2022-10-10 12:16:06,马清伟,机加车间,7230小赛诺电池盒前底托_
140,141,cA870txjSY23rFYetTtEOQ05971665375366,四川金彭,四川金彭,202210100787,,,前立管加固筋/福乐7B_,电瓶车-三轮.成品.02622,前立管加固筋/福乐7B,,个,545,2022-10-10,2022-10-11,A-单冲模-落料,,,A,2022-10-10,,进行中,A组,A组,,前立管加固筋/福乐7B_,2022-10-10,2022-10-10 12:16:06,马清伟,机加车间,前立管加固筋/福乐7B_
141,142,gefQpeoDSh27P6kK2eowHA05971665375366,成都巨伦,成都巨伦,202210100790,,,9620赛沃电池盒挡板_,LL.04.04632,9620赛沃电池盒挡板,,个,1320,2022-10-10,2022-10-11,D-连续模出成品,,,D,2022-10-10,,进行中,D组,D组,,9620赛沃电池盒挡板_,2022-10-10,2022-10-10 12:16:06,马清伟,机加车间,9620赛沃电池盒挡板_
142,143,KYA4-PAbQX2ZbDotmTPwAA05971665375366,成都巨伦,成都巨伦,202210100797,,,7230小赛诺电池盒前挡板_,电瓶车-两轮.半成品.05003,7230小赛诺电池盒前挡板,,个,560,2022-10-10,2022-10-11,"B-唐宇下料,B-切角两次,B-三次成型",,,B,2022-10-10,,进行中,B组,B组,,7230小赛诺电池盒前挡板_,2022-10-10,2022-10-10 12:16:06,马清伟,机加车间,7230小赛诺电池盒前挡板_
143,144,A4LQn1R9QF6b4HVYHZlGoQ05971665375366,成都巨伦,成都巨伦,202210100803,,,6020新博威电池盒挡板_,电瓶车-两轮.半成品.05015,6020新博威电池盒挡板,,个,420,2022-10-10,2022-10-11,"B-唐宇下料,B-切口,B-切角两次,B-四次成型",,,B,2022-10-10,,进行中,B组,B组,,6020新博威电池盒挡板_,2022-10-10,2022-10-10 12:16:06,马清伟,机加车间,6020新博威电池盒挡板_
144,145,Fai2XzkMRumUJI1O6kwDXA05971665375366,成都巨伦,成都巨伦,202210100799,,,7220塞纳电池盒底托_,电瓶车-两轮.半成品.04962,7220塞纳电池盒底托,,个,330,2022-10-10,2022-10-11,"D-连续模下料,B-压筋,B-单冲模-冲孔,B-焊帽子,B-三次成型,B-焊耳朵,B-点焊",,,D+B,2022-10-10,,进行中,D组,D组,,7220塞纳电池盒底托_,2022-10-10,2022-10-10 12:16:06,马清伟,机加车间,7220塞纳电池盒底托_
145,146,wW7YcMPRSYqWU3GGg0YOvQ05971665375366,四川金彭,四川金彭,202210100788,,,神龙10脚刹连片_,电瓶车-三轮.成品.02550,神龙10脚刹连片,,个,1225,2022-10-10,2022-10-11,A-单冲模-落料,,,A,2022-10-10,,进行中,A组,A组,,神龙10脚刹连片_,2022-10-10,2022-10-10 12:16:06,马清伟,机加车间,神龙10脚刹连片_
146,147,Dz1tQ0unQz2yA7lym2WRcw05971665375366,成都巨伦,成都巨伦,202210100800,,,7220塞纳电池盒挡板_,电瓶车-两轮.半成品.04963,7220塞纳电池盒挡板,,个,660,2022-10-10,2022-10-11,D-连续模下料,,,D,2022-10-10,,进行中,D组,D组,,7220塞纳电池盒挡板_,2022-10-10,2022-10-10 12:16:06,马清伟,机加车间,7220塞纳电池盒挡板_
147,148,nXkCYjPlSHa2W2D_WraOgw05971665375366,成都巨伦,成都巨伦,202210100802,,,6020新博威电池盒后底托_,电瓶车-两轮.半成品.05014,6020新博威电池盒后底托,,个,210,2022-10-10,2022-10-11,"B-唐宇下料,B-压筋,B-二次成型",,,B,2022-10-10,,进行中,B组,B组,,6020新博威电池盒后底托_,2022-10-10,2022-10-10 12:16:06,马清伟,机加车间,6020新博威电池盒后底托_
148,149,Gr197ahaTr6hvUWx_oRT7g05971665375366,成都巨伦,成都巨伦,202210100794,,,7220169电池盒挡板_,电瓶车-两轮.半成品.05017,7220169电池盒挡板,,个,600,2022-10-10,2022-10-11,"B-唐宇下料,B-切角两次,B-三次成型",,,B,2022-10-10,,进行中,B组,B组,,7220169电池盒挡板_,2022-10-10,2022-10-10 12:16:06,马清伟,机加车间,7220169电池盒挡板_
149,150,_hiDgFWcRbmjJwkaX4y5uQ05971665375366,成都巨伦,成都巨伦,202210100793,,,7220169电池盒底托_,电瓶车-两轮.半成品.05016,7220169电池盒底托,,个,300,2022-10-10,2022-10-11,"B-唐宇下料,B-压筋,B-二次成型,B-点焊",,,B,2022-10-10,,进行中,B组,B组,,7220169电池盒底托_,2022-10-10,2022-10-10 12:16:06,马清伟,机加车间,7220169电池盒底托_
150,151,4Al8lf3qRuKb5WabUZGI4g05971665375366,成都巨伦,成都巨伦,202210100796,,,7230小赛诺电池盒后底托_,电瓶车-两轮.半成品.05002,7230小赛诺电池盒后底托,,个,280,2022-10-10,2022-10-11,"B-唐宇下料,B-二次成型,B-焊耳朵",,,B,2022-10-10,,进行中,B组,B组,,7230小赛诺电池盒后底托_,2022-10-10,2022-10-10 12:16:06,马清伟,机加车间,7230小赛诺电池盒后底托_
151,152,Yd6CKUEmQmuFqnjFc4apXg05971665375366,四川金彭,四川金彭,202210100786,,,前保险杠固定扁铁/宝祺3代_,电瓶车-三轮.成品.02759,前保险杠固定扁铁/宝祺3代,,个,550,2022-10-10,2022-10-11,A-单冲模-落料,,,A,2022-10-10,,进行中,A组,A组,,前保险杠固定扁铁/宝祺3代_,2022-10-10,2022-10-10 12:16:06,马清伟,机加车间,前保险杠固定扁铁/宝祺3代_
152,153,k8g2aPyoRkin8Z87ktMyWg05971665375366,成都巨伦,成都巨伦,202210100789,,,9620赛沃电池盒底托_,电瓶车-两轮.成品.04998,9620赛沃电池盒底托,,个,660,2022-10-10,2022-10-11,"B-唐宇下料,B-压筋两次,B-点焊两次,B-焊耳朵四次,B-点焊",,,B,2022-10-10,,进行中,B组,B组,,9620赛沃电池盒底托_,2022-10-10,2022-10-10 12:16:06,马清伟,机加车间,9620赛沃电池盒底托_
153,154,IcQUXJWARDWhigoQQeCeJg05971665375366,成都巨伦,成都巨伦,202210100798,,,7230小赛诺电池盒后挡板_,电瓶车-两轮.半成品.05004,7230小赛诺电池盒后挡板,,个,560,2022-10-10,2022-10-11,"B-唐宇下料,B-切角两次,B-三次成型",,,B,2022-10-10,,进行中,B组,B组,,7230小赛诺电池盒后挡板_,2022-10-10,2022-10-10 12:16:06,马清伟,机加车间,7230小赛诺电池盒后挡板_
154,155,wJvJHCz1Qr2xdyZj-LWhqQ05971665375365,四川金彭,四川金彭,202210100784,,,JP500DZH-24.2-3前立管加固扁铁/神龙10_,电瓶车-三轮.成品.02544,JP500DZH-24.2-3前立管加固扁铁/神龙10,,个,6140,2022-10-10,2022-10-11,A-单冲模-落料,,,A,2022-10-10,,进行中,A组,A组,,JP500DZH-24.2-3前立管加固扁铁/神龙10_,2022-10-10,2022-10-10 12:16:05,马清伟,机加车间,JP500DZH-24.2-3前立管加固扁铁/神龙10_
155,156,pj83xdqxT9SXiNauB8ODuQ05971665375365,四川金彭,四川金彭,202210100782,,,JP500DZH-24.2.5-3车厢固定板/神龙10_,电瓶车-三轮.成品.02534,JP500DZH-24.2.5-3车厢固定板/神龙10,,个,11930,2022-10-10,2022-10-11,A-单冲模-落料,,,A,2022-10-10,,进行中,A组,A组,,JP500DZH-24.2.5-3车厢固定板/神龙10_,2022-10-10,2022-10-10 12:16:05,马清伟,机加车间,JP500DZH-24.2.5-3车厢固定板/神龙10_
156,157,p5FQQD28SaeeS8hh9IGdkg05971665375365,四川金彭,四川金彭,202210100783,,,JP500DZH-24.2-15断电开关固定板/神龙10_,电瓶车-三轮.成品.02540,JP500DZH-24.2-15断电开关固定板/神龙10,,个,3445,2022-10-10,2022-10-11,A-单冲模-落料,,,A,2022-10-10,,进行中,A组,A组,,JP500DZH-24.2-15断电开关固定板/神龙10_,2022-10-10,2022-10-10 12:16:05,马清伟,机加车间,JP500DZH-24.2-15断电开关固定板/神龙10_
157,158,XqOnQm7KT5yyyQtahmHxGg05971665375365,四川金彭,四川金彭,202210100771,,,门芯封头/启航150_,电瓶车-两轮.成品.03716,门芯封头/启航150,,个,2960,2022-10-10,2022-10-11,"A-单冲模-落料,A-一次成型,A-二次成型",,,A,2022-10-10,,进行中,A组,A组,,门芯封头/启航150_,2022-10-10,2022-10-10 12:16:05,马清伟,机加车间,门芯封头/启航150_
158,159,JCET3azbT6KJEzusfvlzJw05971665375365,四川金彭,四川金彭,202210100766,,,车厢挂耳/二代/霸道160_,电瓶车-三轮.成品.02682,车厢挂耳/二代/霸道160,,个,10205,2022-10-10,2022-10-11,A-连续模下料,,,A,2022-10-10,,进行中,A组,A组,,车厢挂耳/二代/霸道160_,2022-10-10,2022-10-10 12:16:05,马清伟,机加车间,车厢挂耳/二代/霸道160_
159,160,LoLqP3pZT9SGSqqGhxBRWQ05971665375365,四川金彭,四川金彭,202210100775,,,φ57通用转向限位器/福乐7B_,电瓶车-三轮.成品.02612,φ57通用转向限位器/福乐7B,,个,3750,2022-10-10,2022-10-11,"A-单冲模-落料,A-一次成型",,,A,2022-10-10,,进行中,A组,A组,,φ57通用转向限位器/福乐7B_,2022-10-10,2022-10-10 12:16:05,马清伟,机加车间,φ57通用转向限位器/福乐7B_
160,161,C3AtuLleTv-XnOPuK-NUrw05971665375365,四川金彭,四川金彭,202210100781,,,JP500DZH-4G.2-1加强板/神龙11F/大三角_,电瓶车-三轮.成品.02530,JP500DZH-4G.2-1加强板/神龙11F/大三角,,个,9420,2022-10-10,2022-10-11,A-单冲模-落料,,,A,2022-10-10,,进行中,A组,A组,,JP500DZH-4G.2-1加强板/神龙11F/大三角_,2022-10-10,2022-10-10 12:16:05,马清伟,机加车间,JP500DZH-4G.2-1加强板/神龙11F/大三角_
161,162,Uzh5t5MrTDCI8FOb_BLNJg05971665375365,四川金彭,四川金彭,202210100768,,,坐垫固定扁铁/福乐7B_,电瓶车-三轮.成品.02625,坐垫固定扁铁/福乐7B,,个,1230,2022-10-10,2022-10-11,A-连续模下料,,,A,2022-10-10,,进行中,A组,A组,,坐垫固定扁铁/福乐7B_,2022-10-10,2022-10-10 12:16:05,马清伟,机加车间,坐垫固定扁铁/福乐7B_
162,163,zJXk7VYnTSGyJGXrr6ZWmA05971665375365,四川金彭,四川金彭,202210100780,,,右脚蹬/神龙11Y_,电瓶车-三轮.成品.02585,右脚蹬/神龙11Y,,个,665,2022-10-10,2022-10-11,"A-单冲模-落料,A-单冲模-冲孔,A-一次成型,A-二次成型",,,A,2022-10-10,,进行中,A组,A组,,右脚蹬/神龙11Y_,2022-10-10,2022-10-10 12:16:05,马清伟,机加车间,右脚蹬/神龙11Y_
163,164,fiM52XIVTwm5Hj_gXn3Lng05971665375365,四川金彭,四川金彭,202210100773,,,门板加强筋/川岳Ⅲ150_,电瓶车-两轮.成品.03713,门板加强筋/川岳Ⅲ150,,个,1090,2022-10-10,2022-10-11,"A-单冲模-落料,A-一次成型",,,A,2022-10-10,,进行中,A组,A组,,门板加强筋/川岳Ⅲ150_,2022-10-10,2022-10-10 12:16:05,马清伟,机加车间,门板加强筋/川岳Ⅲ150_
164,165,-rgKf2A3QGWe4ME1y1_eyw05971665375365,四川金彭,四川金彭,202210100777,,,前吊耳/福乐7B_,电瓶车-三轮.成品.02621,前吊耳/福乐7B,,个,290,2022-10-10,2022-10-11,"A-单冲模-落料,A-一次成型",,,A,2022-10-10,,进行中,A组,A组,,前吊耳/福乐7B_,2022-10-10,2022-10-10 12:16:05,马清伟,机加车间,前吊耳/福乐7B_
165,166,UONHplHmQCOfGWVAPsnaUQ05971665375365,四川金彭,四川金彭,202210100778,,,调节拉杆吊耳/霸王龙150-408D5_,电瓶车-三轮.成品.02798,调节拉杆吊耳/霸王龙150-408D5,,个,3000,2022-10-10,2022-10-11,"A-单冲模-落料,A-一次成型",,,A,2022-10-10,,进行中,A组,A组,,调节拉杆吊耳/霸王龙150-408D5_,2022-10-10,2022-10-10 12:16:05,马清伟,机加车间,调节拉杆吊耳/霸王龙150-408D5_
166,167,bI49nV9eSc2_a-aTQXDtgw05971665375365,四川金彭,四川金彭,202210100774,,,门芯加强筋（腰型）/启航_,电瓶车-两轮.成品.03717,门芯加强筋（腰型）/启航,,个,2220,2022-10-10,2022-10-11,"A-单冲模-落料,A-一次成型",,,A,2022-10-10,,进行中,A组,A组,,门芯加强筋（腰型）/启航_,2022-10-10,2022-10-10 12:16:05,马清伟,机加车间,门芯加强筋（腰型）/启航_
167,168,r-U-BVVKQ6G2uGqv8trI6g05971665375365,四川金彭,四川金彭,202210100776,,,短摇臂曲板/福乐7B_,电瓶车-三轮.成品.02616,短摇臂曲板/福乐7B,,个,400,2022-10-10,2022-10-11,"A-单冲模-落料,A-一次成型",,,A,2022-10-10,,进行中,A组,A组,,短摇臂曲板/福乐7B_,2022-10-10,2022-10-10 12:16:05,马清伟,机加车间,短摇臂曲板/福乐7B_
168,169,UqHZK1I1SmCxgQdx_QMQ1A05971665375365,四川金彭,四川金彭,202210100769,,,新款前脚蹬（左）/川岳_,电瓶车-三轮.成品.02787,新款前脚蹬（左）/川岳,,个,2375,2022-10-10,2022-10-11,"A-单冲模-落料,A-一次成型,A-二次成型",,,A,2022-10-10,,进行中,A组,A组,,新款前脚蹬（左）/川岳_,2022-10-10,2022-10-10 12:16:05,马清伟,机加车间,新款前脚蹬（左）/川岳_
169,170,m2XdxkpFR4-YEwAeU_ZoDA05971665375365,四川金彭,四川金彭,202210100785,,,JP500DZH-24.2-7三角加固板/神龙10_,电瓶车-三轮.成品.02545,JP500DZH-24.2-7三角加固板/神龙10,,个,1255,2022-10-10,2022-10-11,A-单冲模-落料,,,A,2022-10-10,,进行中,A组,A组,,JP500DZH-24.2-7三角加固板/神龙10_,2022-10-10,2022-10-10 12:16:05,马清伟,机加车间,JP500DZH-24.2-7三角加固板/神龙10_
170,171,AtOSEVduQ06xVM20_UiG7w05971665375365,四川金彭,四川金彭,202210100770,,,新款前脚蹬（右）/川岳_,电瓶车-三轮.成品.02788,新款前脚蹬（右）/川岳,,个,2375,2022-10-10,2022-10-11,"A-单冲模-落料,A-一次成型,A-二次成型",,,A,2022-10-10,,进行中,A组,A组,,新款前脚蹬（右）/川岳_,2022-10-10,2022-10-10 12:16:05,马清伟,机加车间,新款前脚蹬（右）/川岳_
171,172,f2IBR_U8Sc6wN8LRiYNN0g05971665375365,四川金彭,四川金彭,202210100779,,,左脚蹬/神龙11Y_,电瓶车-三轮.成品.02586,左脚蹬/神龙11Y,,个,665,2022-10-10,2022-10-11,"A-单冲模-落料,A-单冲模-冲孔,A-一次成型,A-二次成型",,,A,2022-10-10,,进行中,A组,A组,,左脚蹬/神龙11Y_,2022-10-10,2022-10-10 12:16:05,马清伟,机加车间,左脚蹬/神龙11Y_
172,173,eRrTE3y6TgG98mVy3RKJ1Q05971665375365,四川金彭,四川金彭,202210100767,,,前挡玻璃防滑片/宝祺IIP150_,电瓶车-三轮.成品.02730,前挡玻璃防滑片/宝祺IIP150,,个,550,2022-10-10,2022-10-11,A-连续模下料,,,A,2022-10-10,,进行中,A组,A组,,前挡玻璃防滑片/宝祺IIP150_,2022-10-10,2022-10-10 12:16:05,马清伟,机加车间,前挡玻璃防滑片/宝祺IIP150_
173,174,8DxWjvQvR5-WzTJ1IKgVrg05971665375365,四川金彭,四川金彭,202210100772,,,JP500DZH-4U.2-1立梁加固筋/神龙11K_,电瓶车-三轮.成品.02559,JP500DZH-4U.2-1立梁加固筋/神龙11K,,个,2185,2022-10-10,2022-10-11,"A-单冲模-落料,A-一次成型",,,A,2022-10-10,,进行中,A组,A组,,JP500DZH-4U.2-1立梁加固筋/神龙11K_,2022-10-10,2022-10-10 12:16:05,马清伟,机加车间,JP500DZH-4U.2-1立梁加固筋/神龙11K_
174,175,Y7mvirCLRB6u-kiOa80wnQ05971665375364,四川金彭,四川金彭,202210100750,,,制动分配轴支架/劲霸2E_,电瓶车-三轮.成品.02663,制动分配轴支架/劲霸2E,,个,11435,2022-10-10,2022-10-11,D-连续模出成品,,,D,2022-10-10,,进行中,D组,D组,,制动分配轴支架/劲霸2E_,2022-10-10,2022-10-10 12:16:04,马清伟,机加车间,制动分配轴支架/劲霸2E_
175,176,_z5n1tmFSLWm-TfuShK4GQ05971665375364,四川金彭,四川金彭,202210100760,,,复位簧摇臂/传祺P180_,电瓶车-两轮.成品.03458,复位簧摇臂/传祺P180,,个,350,2022-10-10,2022-10-11,B-激光切割,,,B,2022-10-10,,进行中,B组,B组,,复位簧摇臂/传祺P180_,2022-10-10,2022-10-10 12:16:04,马清伟,机加车间,复位簧摇臂/传祺P180_
176,177,opLj6fiEQACkFD4ekDHOLQ05971665375364,重庆巨伦,重庆巨伦,202210100738,,,A3-货架支架左_,电瓶车-两轮.成品.04212,A3-货架支架左,,个,3000,2022-10-10,2022-10-11,D-连续模出成品,,,D,2022-10-10,,进行中,D组,D组,,A3-货架支架左_,2022-10-10,2022-10-10 12:16:04,马清伟,机加车间,A3-货架支架左_
177,178,PLVE7lPQSR6bNomORokwYg05971665375364,重庆巨伦,重庆巨伦,202210100746,,,N385-搁脚支架左_,电瓶车-两轮.成品.04484,N385-搁脚支架左,,个,1500,2022-10-10,2022-10-11,D-连续模出成品,,,D,2022-10-10,,进行中,D组,D组,,N385-搁脚支架左_,2022-10-10,2022-10-10 12:16:04,马清伟,机加车间,N385-搁脚支架左_
178,179,wa4oVD4STm2guwaSgk2RKQ05971665375364,重庆巨伦,重庆巨伦,202210100734,,,Q1-挂钩支架_,电瓶车-两轮.成品.04535,Q1-挂钩支架,,个,3000,2022-10-10,2022-10-11,D-连续模出成品,,,D,2022-10-10,,进行中,D组,D组,,Q1-挂钩支架_,2022-10-10,2022-10-10 12:16:04,马清伟,机加车间,Q1-挂钩支架_
179,180,uAdgA75uQje6Lo4ul7Mzkw05971665375364,重庆巨伦,重庆巨伦,202210100752,,,Q312-主梁管加强_,电瓶车-两轮.成品.04604,Q312-主梁管加强,,个,3000,2022-10-10,2022-10-11,"C-单冲模-落料,C-一次成型",,,C,2022-10-10,,进行中,C组,C组,,Q312-主梁管加强_,2022-10-10,2022-10-10 12:16:04,马清伟,机加车间,Q312-主梁管加强_
180,181,4HTkxNCDSiO7Mdq8lRmKrA05971665375364,重庆巨伦,重庆巨伦,202210100736,,,Q1-单撑板加强片_,电瓶车-两轮.成品.04529,Q1-单撑板加强片,,个,3000,2022-10-10,2022-10-11,D-连续模出成品,,,D,2022-10-10,,进行中,D组,D组,,Q1-单撑板加强片_,2022-10-10,2022-10-10 12:16:04,马清伟,机加车间,Q1-单撑板加强片_
181,182,82WvEzewTw2GpIMUjn89lg05971665375364,重庆巨伦,重庆巨伦,202210100743,,,Q312-平叉前支架左右_,电瓶车-两轮.成品.04597,Q312-平叉前支架左右,,个,6000,2022-10-10,2022-10-11,D-连续模出成品,,,D,2022-10-10,,进行中,D组,D组,,Q312-平叉前支架左右_,2022-10-10,2022-10-10 12:16:04,马清伟,机加车间,Q312-平叉前支架左右_
182,183,ajmcGSfWRaa1PNmUIfgPbw05971665375364,重庆巨伦,重庆巨伦,202210100739,,,A3-货架支架右_,电瓶车-两轮.成品.04211,A3-货架支架右,,个,3000,2022-10-10,2022-10-11,D-连续模出成品,,,D,2022-10-10,,进行中,D组,D组,,A3-货架支架右_,2022-10-10,2022-10-10 12:16:04,马清伟,机加车间,A3-货架支架右_
183,184,bd-0lxSbRiKMMva3irxb_g05971665375364,重庆巨伦,重庆巨伦,202210100742,,,Q1-前电池盒安装支架左右_,电瓶车-两轮.成品.04555,Q1-前电池盒安装支架左右,,个,6000,2022-10-10,2022-10-11,D-连续模出成品,,,D,2022-10-10,,进行中,D组,D组,,Q1-前电池盒安装支架左右_,2022-10-10,2022-10-10 12:16:04,马清伟,机加车间,Q1-前电池盒安装支架左右_
184,185,zXfbmiGnTr--9O0F1BGCJQ05971665375364,四川金彭,四川金彭,202210100749,,,制动分配轴长支架/劲霸2E_,电瓶车-三轮.成品.02648,制动分配轴长支架/劲霸2E,,个,2335,2022-10-10,2022-10-11,D-连续模出成品,,,D,2022-10-10,,进行中,D组,D组,,制动分配轴长支架/劲霸2E_,2022-10-10,2022-10-10 12:16:04,马清伟,机加车间,制动分配轴长支架/劲霸2E_
185,186,kfm3VmM1TluNE9Fxxa8JPA05971665375364,重庆巨伦,重庆巨伦,202210100745,,,Q312-平叉吊耳新状态_,电瓶车-两轮.成品.04594,Q312-平叉吊耳新状态,,个,6000,2022-10-10,2022-10-11,D-连续模出成品,,,D,2022-10-10,,进行中,D组,D组,,Q312-平叉吊耳新状态_,2022-10-10,2022-10-10 12:16:04,马清伟,机加车间,Q312-平叉吊耳新状态_
186,187,7LRhHs9ySWekKgFm8SbtcQ05971665375364,重庆巨伦,重庆巨伦,202210100733,,,Q1-喇叭支架_,电瓶车-两轮.成品.04550,Q1-喇叭支架,,个,3000,2022-10-10,2022-10-11,D-连续模出成品,,,D,2022-10-10,,进行中,D组,D组,,Q1-喇叭支架_,2022-10-10,2022-10-10 12:16:04,马清伟,机加车间,Q1-喇叭支架_
187,188,zTegbZvxRhmRxppHFyUo5Q05971665375364,重庆巨伦,重庆巨伦,202210100751,,,通用平叉加强片_,电瓶车-两轮.成品.04620,通用平叉加强片,,个,6000,2022-10-10,2022-10-11,C-唐宇下料,,,C,2022-10-10,,进行中,C组,C组,,通用平叉加强片_,2022-10-10,2022-10-10 12:16:04,马清伟,机加车间,通用平叉加强片_
